codigo_ibge,referencia,ano,mes,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
171620,202312,2023,12,2209,1504669.0,681.77,681.153915799004
171630,202312,2023,12,662,452910.0,684.15,684.1540785498489
171650,202312,2023,12,1016,685128.0,675.0,674.3385826771654
171660,202312,2023,12,1135,798559.0,703.58,703.5762114537445
171665,202312,2023,12,673,450423.0,669.28,669.2763744427934
171670,202312,2023,12,965,657702.0,681.56,681.5564766839378
171700,202312,2023,12,636,449417.0,706.63,706.6305031446541
171720,202312,2023,12,406,281883.0,694.29,694.2931034482758
171750,202312,2023,12,577,433793.0,751.81,751.8076256499133
171780,202312,2023,12,715,479623.0,670.8,670.8013986013985
171790,202312,2023,12,802,595519.0,742.54,742.5423940149626
171800,202312,2023,12,364,246340.0,691.97,676.7582417582418
171820,202312,2023,12,4847,3342877.0,690.68,689.6795956261606
171830,202312,2023,12,1020,727961.0,713.69,713.6872549019607
171840,202312,2023,12,330,222132.0,673.13,673.1272727272727
171845,202312,2023,12,384,264839.0,689.68,689.6848958333334
171850,202312,2023,12,770,545168.0,708.01,708.0103896103897
171855,202312,2023,12,588,399938.0,680.17,680.1666666666666
171865,202312,2023,12,306,208205.0,680.41,680.4084967320262
171870,202312,2023,12,350,247142.0,706.12,706.12
171875,202312,2023,12,983,712171.0,724.49,724.4872838250254
171880,202312,2023,12,1038,733802.0,706.94,706.9383429672447
171884,202312,2023,12,652,456398.0,700.0,699.9969325153374
171886,202312,2023,12,634,460013.0,726.72,725.5725552050474
171888,202312,2023,12,307,210760.0,686.51,686.514657980456
171889,202312,2023,12,179,129213.0,721.86,721.8603351955308
171890,202312,2023,12,713,508483.0,713.16,713.1598877980365
171900,202312,2023,12,300,230101.0,767.0,767.0033333333333
172000,202312,2023,12,263,168249.0,639.73,639.7300380228137
172010,202312,2023,12,856,622910.0,727.7,727.6985981308411
172015,202312,2023,12,204,144126.0,706.5,706.5
172020,202312,2023,12,2137,1507612.0,705.48,705.4805802526907
172025,202312,2023,12,423,285792.0,675.63,675.6312056737588
