codigo_ibge,ano,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
411950,2025,8938,72367572.0,678.44,675.02
411960,2025,2673,20703258.0,648.16,645.46
411965,2025,218,1718555.0,669.92,657.36
411970,2025,398,3127740.0,669.66,654.99
411980,2025,626,5004458.0,669.28,666.36
411990,2025,17444,141813417.0,683.5,677.62
411995,2025,2280,17987857.0,664.34,657.31
412000,2025,778,6137698.0,660.5,657.7
412010,2025,196,1547596.0,668.94,658.89
412015,2025,276,2093566.0,633.04,630.92
412020,2025,149,1241954.0,696.33,692.73
412030,2025,334,2664551.0,665.63,665.62
412033,2025,278,2158011.0,646.84,646.84
412035,2025,230,1805741.0,658.0,654.15
412040,2025,202,1619772.0,671.59,666.98
412050,2025,441,3490467.0,663.56,659.36
412060,2025,3147,24172444.0,648.33,640.07
412065,2025,197,1608886.0,682.76,681.56
412070,2025,544,4261708.0,662.94,652.67
412080,2025,1239,9984023.0,672.27,671.68
412085,2025,54,388298.0,601.74,599.67
412090,2025,2933,23552924.0,673.46,669.04
412100,2025,704,5566649.0,662.25,658.78
412110,2025,251,1938180.0,661.61,643.03
412120,2025,958,7690132.0,670.25,668.56
412125,2025,204,1605658.0,660.42,656.29
412130,2025,268,2104354.0,654.86,654.44
412135,2025,157,1157577.0,618.15,614.09
412140,2025,582,4469802.0,644.41,639.94
412150,2025,1606,12828355.0,671.54,665.64
412160,2025,92,717455.0,659.14,652.18
412170,2025,2816,22433808.0,665.9,663.54
412175,2025,569,4530098.0,669.76,663.43
412180,2025,635,5006332.0,663.99,657.11
412190,2025,1121,8700730.0,649.06,647.06
412200,2025,574,4185393.0,614.83,607.56
412210,2025,227,1791205.0,660.46,658.87
412215,2025,1607,12976346.0,679.91,672.35
412217,2025,638,5101945.0,668.1,666.78
412220,2025,2378,19103321.0,677.47,670.19
412230,2025,1043,8305391.0,666.91,663.15
412240,2025,2776,21901106.0,664.65,657.76
412250,2025,554,4096863.0,617.25,615.45
412260,2025,406,3224814.0,668.39,661.61
412265,2025,574,4599940.0,668.7,668.33
412270,2025,437,3515822.0,672.91,671.27
412280,2025,132,983493.0,621.08,618.81
412290,2025,488,3997356.0,683.45,682.59
412300,2025,709,5694879.0,671.29,669.94
412310,2025,187,1440690.0,642.91,642.59
412320,2025,223,1786319.0,671.35,668.21
412330,2025,573,4562825.0,670.73,663.89
412340,2025,267,1899502.0,599.77,592.38
412350,2025,964,7653026.0,668.02,661.31
412360,2025,123,1002087.0,682.9,680.93
412370,2025,355,2666928.0,631.76,625.03
412380,2025,340,2595218.0,636.16,636.16
412382,2025,207,1642288.0,666.08,660.6
412385,2025,1167,9269928.0,665.87,661.95
412390,2025,932,7110946.0,640.02,636.13
412395,2025,277,2178208.0,664.51,656.37
412400,2025,376,2930932.0,649.44,649.15
412402,2025,858,6873559.0,676.18,666.54
412405,2025,1242,9938346.0,668.56,666.56
412410,2025,2907,23120099.0,663.18,662.9
