codigo_ibge,referencia,ano,mes,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
170030,202512,2025,12,454,307200.0,678.15,676.6519823788547
170035,202512,2025,12,589,414094.0,704.24,703.0458404074703
170040,202512,2025,12,1045,723323.0,692.84,692.1751196172249
170070,202512,2025,12,877,609457.0,696.52,694.9338654503991
170100,202512,2025,12,1548,1102423.0,714.0,712.1595607235142
170105,202512,2025,12,227,151791.0,674.63,668.6828193832599
170110,202512,2025,12,577,418116.0,750.66,724.6377816291161
170130,202512,2025,12,749,507769.0,681.57,677.9292389853138
170190,202512,2025,12,775,553193.0,715.64,713.7974193548387
170200,202512,2025,12,568,378643.0,670.16,666.625
170210,202512,2025,12,11087,7531947.0,683.29,679.3494182375755
170215,202512,2025,12,627,445652.0,711.9,710.7687400318979
170220,202512,2025,12,3429,2395904.0,712.64,698.7179935841353
170230,202512,2025,12,697,496108.0,713.82,711.7761836441894
170240,202512,2025,12,1714,1162098.0,683.19,678.0035005834305
170255,202512,2025,12,1966,1420179.0,723.11,722.3697863682604
170270,202512,2025,12,392,261973.0,671.73,668.2984693877551
170290,202512,2025,12,2043,1466129.0,720.81,717.635340186001
170300,202512,2025,12,1156,788180.0,684.78,681.8166089965398
170305,202512,2025,12,389,270951.0,698.33,696.5321336760926
170307,202512,2025,12,716,513947.0,721.84,717.8030726256983
170310,202512,2025,12,636,437436.0,687.79,687.7924528301887
170320,202512,2025,12,480,330575.0,691.58,688.6979166666666
170330,202512,2025,12,833,593450.0,715.0,712.4249699879952
170360,202512,2025,12,289,194473.0,675.25,672.916955017301
170370,202512,2025,12,641,437823.0,687.32,683.0312012480499
170380,202512,2025,12,960,697153.0,730.0,726.2010416666667
170382,202512,2025,12,310,219860.0,709.23,709.2258064516129
170384,202512,2025,12,920,688644.0,752.62,748.5260869565218
170386,202512,2025,12,243,169336.0,702.64,696.8559670781893
170388,202512,2025,12,373,263827.0,711.12,707.3109919571045
170389,202512,2025,12,437,320879.0,737.65,734.2768878718535
170390,202512,2025,12,779,532600.0,686.34,683.6970474967908
170410,202512,2025,12,290,195876.0,680.13,675.4344827586207
170460,202512,2025,12,221,161301.0,729.87,729.868778280543
170510,202512,2025,12,452,320647.0,717.33,709.3960176991151
170550,202512,2025,12,3670,2551352.0,699.58,695.1912806539509
170555,202512,2025,12,623,417136.0,671.72,669.5601926163724
170560,202512,2025,12,500,341304.0,685.35,682.608
170600,202512,2025,12,803,545589.0,680.29,679.4383561643835
170610,202512,2025,12,794,549993.0,694.44,692.6863979848866
170625,202512,2025,12,161,108708.0,679.43,675.2049689440994
170650,202512,2025,12,964,670395.0,699.06,695.4304979253112
170700,202512,2025,12,1564,1053916.0,677.76,673.8593350383632
170710,202512,2025,12,856,594654.0,697.13,694.6892523364486
170720,202512,2025,12,928,629315.0,680.34,678.1411637931035
170730,202512,2025,12,559,395687.0,710.39,707.8479427549195
170740,202512,2025,12,1493,1067419.0,715.43,714.9490957803081
170755,202512,2025,12,365,260990.0,720.97,715.0410958904109
170765,202512,2025,12,503,343548.0,685.72,682.9980119284294
170770,202512,2025,12,1118,790847.0,708.64,707.3765652951699
170820,202512,2025,12,2041,1428191.0,701.12,699.75061244488
170825,202512,2025,12,579,403812.0,707.2,697.4300518134716
170830,202512,2025,12,559,384454.0,693.96,687.7531305903399
