codigo_ibge,ano,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
170765,2023,546,3713969.0,679.62,679.62
170770,2023,1312,8865295.0,706.61,675.38
170820,2023,2143,15143210.0,707.12,706.65
170825,2023,647,4468378.0,691.08,691.08
170830,2023,789,5161076.0,654.44,653.87
170900,2023,2452,18115070.0,738.59,738.13
170930,2023,2028,13840245.0,682.7,682.49
170950,2023,3860,27413813.0,710.74,710.3
170980,2023,216,1435496.0,681.6,665.95
171050,2023,1287,9396838.0,730.99,730.05
171070,2023,853,6042814.0,719.1,708.09
171090,2023,550,3646101.0,687.63,662.66
171110,2023,246,1677736.0,683.4,683.4
171150,2023,404,2754762.0,681.64,680.98
171180,2023,254,1774391.0,699.81,698.48
171190,2023,1436,10602870.0,739.73,738.24
171195,2023,490,3654372.0,745.34,745.34
171200,2023,259,1796543.0,696.78,693.84
171215,2023,228,1535600.0,672.98,672.98
171240,2023,464,3458649.0,745.03,745.03
171245,2023,411,2751233.0,669.98,669.82
171250,2023,373,2656145.0,712.37,712.38
171270,2023,275,2085767.0,757.65,757.65
171280,2023,548,3824593.0,705.69,697.92
171320,2023,1777,12504204.0,704.85,703.53
171330,2023,1607,11139053.0,693.2,693.07
171360,2023,838,6125397.0,731.79,730.76
171370,2023,368,2539882.0,691.51,691.13
171380,2023,874,5998014.0,695.0,686.61
171395,2023,513,3678406.0,718.96,717.73
171420,2023,1096,7597777.0,694.13,692.94
171430,2023,640,4405794.0,689.75,688.26
171488,2023,1451,10163826.0,700.52,700.23
171500,2023,446,3005618.0,674.48,674.02
171510,2023,599,4339750.0,724.11,724.11
171515,2023,262,1779843.0,678.63,678.63
171525,2023,388,2735148.0,705.33,705.33
171550,2023,169,1198707.0,710.84,710.84
171570,2023,682,4702656.0,702.11,689.15
171575,2023,771,5200103.0,675.78,674.28
171610,2023,2236,15981850.0,715.33,714.56
171620,2023,2322,15899834.0,685.57,684.61
171630,2023,662,4410758.0,704.74,666.5
171650,2023,1013,6962916.0,689.26,687.33
171660,2023,1185,8225534.0,697.1,694.5
171665,2023,668,4538476.0,679.2,678.99
171670,2023,906,6134505.0,677.31,677.31
171700,2023,641,4484874.0,699.83,699.83
171720,2023,425,2965431.0,697.23,697.23
171750,2023,557,4221456.0,757.68,757.41
171780,2023,740,4969214.0,671.32,671.32
171790,2023,813,5956628.0,732.37,732.37
171800,2023,382,2642629.0,695.12,691.96
171820,2023,4783,33564942.0,703.18,701.79
171830,2023,1013,6994665.0,724.37,690.25
171840,2023,346,2332642.0,673.27,673.27
171845,2023,395,2724815.0,689.62,689.62
171850,2023,772,5467835.0,708.66,708.12
171855,2023,597,4109919.0,689.31,687.95
171865,2023,299,2079320.0,696.25,696.25
171870,2023,344,2453315.0,713.22,712.82
171875,2023,1013,7239417.0,714.91,714.91
171880,2023,1087,6881445.0,721.68,634.22
171884,2023,622,4361461.0,701.6,701.37
171886,2023,630,4533317.0,726.88,719.2
171888,2023,309,2128017.0,689.13,688.47
171889,2023,169,1213796.0,718.22,718.22
171890,2023,718,5097287.0,710.41,710.41
171900,2023,282,2179805.0,772.03,772.03
172000,2023,268,1760372.0,657.42,657.42
172010,2023,841,6077807.0,724.31,722.69
172015,2023,199,1446256.0,727.67,727.67
172020,2023,2178,15257041.0,707.34,700.64
172025,2023,416,2837541.0,691.86,682.27
172030,2023,873,5713084.0,694.41,653.92
172049,2023,552,3805009.0,698.55,689.47
172065,2023,813,5708155.0,702.09,701.91
172080,2023,1476,10451606.0,708.64,708.32
172085,2023,143,975317.0,683.88,681.99
172090,2023,2940,19698222.0,670.08,669.9
172093,2023,240,1708350.0,710.68,710.68
172097,2023,247,1685654.0,683.42,683.42
172100,2023,21927,153693375.0,701.83,700.98
172110,2023,1355,10750644.0,794.03,793.05
172120,2023,3026,21906072.0,728.27,723.97
172125,2023,195,1322758.0,679.99,678.95
172130,2023,233,1484803.0,648.17,636.07
172208,2023,1586,10901473.0,687.59,687.3
172210,2023,1608,11184131.0,699.4,695.3
210005,2023,11140,77806391.0,701.62,698.33
210010,2023,1933,13943703.0,732.85,721.63
210015,2023,2682,18453281.0,709.34,687.86
210020,2023,6964,45075893.0,662.11,647.27
210030,2023,4088,29936365.0,733.56,731.98
210040,2023,1862,12345483.0,675.91,663.35
210043,2023,4475,28538799.0,703.3,637.83
210047,2023,5375,37909775.0,726.14,705.15
210050,2023,1796,13047936.0,726.98,726.31
210055,2023,1832,11612284.0,711.66,633.55
210060,2023,6002,46032288.0,767.86,766.77
210070,2023,6308,31848612.0,672.7,504.77
210080,2023,4254,29649895.0,718.79,696.92
210083,2023,5284,35558428.0,693.31,673.05
210087,2023,2208,11519790.0,694.51,521.85
210090,2023,8325,51130437.0,690.34,614.12
210095,2023,5353,39966356.0,758.72,746.66
210100,2023,4875,27887096.0,690.59,571.55
210110,2023,2840,14763833.0,683.18,519.47
210120,2023,20168,128577166.0,678.54,637.57
210125,2023,3465,18906794.0,702.42,544.53
210130,2023,3377,22698841.0,694.34,672.15
210135,2023,1437,8444381.0,678.75,588.03
210140,2023,12752,90038797.0,707.28,706.11
210150,2023,3803,25559148.0,678.45,672.25
210160,2023,15831,110351820.0,699.8,697.8
210170,2023,14036,98336475.0,717.92,700.92
210173,2023,2095,12172926.0,766.86,580.82
210177,2023,2598,14178484.0,698.25,545.75
210180,2023,1238,8501801.0,689.91,687.09
210190,2023,4602,28185419.0,674.8,612.4
210193,2023,1048,7177646.0,688.91,685.27
210197,2023,1640,9348380.0,715.14,569.56
210200,2023,6715,40995570.0,708.19,610.46
210203,2023,5411,38795181.0,736.91,717.0
210207,2023,2890,18961920.0,676.08,656.06
210210,2023,6732,46650194.0,714.02,692.86
210215,2023,2026,14493684.0,720.57,715.65
210220,2023,6715,48396134.0,743.45,720.3
210230,2023,5194,36384292.0,700.78,700.6
210232,2023,8906,63518221.0,733.64,712.61
210235,2023,2802,19997346.0,713.93,713.83
210237,2023,3691,24477156.0,693.53,663.24
210240,2023,2184,12669540.0,688.89,580.17
210250,2023,5512,31047961.0,708.01,563.3
210255,2023,1824,12783278.0,703.71,700.92
210260,2023,4493,28297324.0,704.93,629.83
210270,2023,4218,26860891.0,693.31,637.21
210275,2023,2562,17793057.0,697.72,694.62
210280,2023,4516,30691428.0,689.08,679.69
210290,2023,7329,47447940.0,692.76,647.2
210300,2023,19014,133789051.0,706.41,703.55
210310,2023,2669,12030367.0,662.42,450.51
210312,2023,2665,17534626.0,680.13,658.13
210315,2023,3285,21424346.0,712.04,652.67
210317,2023,4080,28928864.0,738.66,709.18
210320,2023,22975,157359676.0,694.16,685.72
